"Licensekey","Lizenzschlüssel"
"CEG Username","CEG Benutzername"
"CEG Password","CEG Passwort"
"Reason for checking the customer","Abfragegrund"
"Autorized","Autorisiert"
"Bonima Settings","Bonima Einstellungen"
"Manage Scores","Scores bearbeiten"
"Identified","Identifiziert"
"Unidentified","Unidentifiziert"
"max. amount","max. Auftragswert"
"from score >=","von Score >="
"to score <=","bis Score <="
"Payment","Zahlungsart"
"Add Score","Score hinzufügen"
"Save Item","Eintrag speichern"
"Delete Item","Eintrag löschen"
"Score Settings","Score-Einstellungen"
"Score Configuration","Score-Konfiguration"
"Bonima does not check customer if cart total is below this value.","Bonima prüft den Kunden nicht, wenn der Wert des Warenkorbes unter diesem Wert ist."
"Custom error message which is shown to the customer if Bonima returns a negative answer and the customer is forced to select another payment method again.","Benutzerdefinierte Fehlermeldung, die dem Kunden angezeigt wird, falls Bonima eine negative Antwort zurückliefert und der Kunde gezwungen wird, eine andere Zahlungsart auszuwählen"
"Customer has not been checked because he is member of a trusted group.","Kundw wurde nicht überprüft, da er ein Mitglied in einer vertrauenswürdigen Gruppe ist."
"Customers in the selected groups will be excluded from Bonima check.","Kunden in den ausgewählten Gruppen werden aus der Bonima-Überprüfung herausgenommen."
"Enabled","Aktiviert"
"Enable Group Filtering","Gruppenfilterung aktivieren"
"Enables Bonima in the shopping cart.","Aktiviert Bonima im Warenkorb."
"Error Message","Fehlermeldung"
"Use Cache","Cache benutzen"
"Invalid license key","Ungültiger Lizenzschlüssel"
"Decide whether to use score caching or checking same person on each checkout.","Entscheiden Sie, ob der Score-Cache benutzt, oder der Besteller bei jedem Checkout geprüft werden soll."
"Recheck after","Neuprüfung nach"
"Recheck the cached customer score after that many days.","Bonität des Kunden nach so vielen Tagen im Cache neu prüfen."
"Customers Permission","Zustimmung des Kunden"
"Did the customer agree to have it's data been saved at CEG? If in doubt, choose no.","Hat Ihr Kunde der Speicherung seiner Daten bei CEG explizit zugestimmt? Im Zweifel nein."
