"Acceptance Mark","Acceptance Mark"
"Account holder", "Kontoinhaber"
"Action","Aktion"
"Add New Merchant", "Neuen Händler hinzufügen"
"Merchant ID", "Merchant-ID"
"Merchant Encryption Password", "Merchant-Verschlüsselungs-Passwort"
"Merchant Hmac", "Merchant-HMAC"
"Merchant Password", "Merchant-Passwort"
"Global Connection Settings", "Globale Verbindungseinstellungen"
"Advanced transaction management", "Erweitertes Transaktions Management"
"All Allowed Countries", "Alle Länder"
"Allow all countries", "Alle Länder zulassen"
"Allow all ip zones", "Alle IP-Zonen zulassen"
"Allow any countries", "Bestimmte Länder zulassen"
"Allow IP zones", "Zugelassene IP-Zonen"
"Allow specific ip zones", "Bestimmte IP-Zonen zulassen"
"Restrict specific ip zones", "Bestimmte IP-Zonen ausschließen"
"Allow/Restrict countries", "Zulassen/Ausschließen von Ländern"
"At the End of the checkout you get redirected to the payment site.", "Am Ende des Bestellprozesses werden Sie auf die Zahlungsseite umgeleitet."
"Authorization","Autorisierung"
"Bank account number", "Kontonummer"
"Bank Code Number Available Check", "BLZ Verfügbarkeitsprüfung"
"Bank code number", "Bankleitzahl"
"Base URL", "Basis-URL"
"Choose allowed/restricted countries", "Zugelassene/ Ausgeschlossene Länder auswählen"
"Created At","Erzeugt am"
"Computop Transaction", "Computop-Transaktion"
"Currency", "Währung"
"Debit in x hours", "Belastung in x Stunden"
"Debit on Delivery", "Belastung bei Lieferung"
"Enabled", "Aktiviert"
"Error Code","Fehlernummer"
"Description","Beschreibung"
"Immediate payment", "Sofortige Belastung"
"ID","ID"
"IP Zones", "IP-Zonen"
"No", "Nein"
"Order","Order"
"PayID,"PayID"
"Payment Action", "Buchungsmethode"
"Payment moment", "Buchungszeitpunkt"
"Payment to applicable countries", "Umfang der Zahlungszulassung"
"Payment to Specific countries", "Zahlungszulassung für bestimmte Länder"
"Please click here to open the payment gateway in the current window.", "Klick Sie hier um das Zahlungs-Gateway im aktuellen Fenster zu öffnen."
"Pre-Fill Payment Information", "Zahlungsinformationen vorausfüllen"
"Credit Card Nr.", "Kreditkarten-Nr."
"Restrict any countries", "Bestimmte Länder ausschließen"
"Sort order", "Sortierreihenfolge"
"Successful","Erfolgreich"
"Specific Countries", "Bestimmte Länder"
"Specific Credit Card Account Information", "Spezifische Händlerinformationen für Kreditkarten"
"The iframe url to the computop paygate is missing. Please try again to pay or choose another payment method.", "Die iframe-Url zum Computop Paygate fehlt. Bitte versuchen Sie erneut zu bezahlen oder wählen Sie eine andere Zahlungsart."
"Title", "Titel"
"TransactionID","Transactions Id"
"Unable to initialize Express Checkout","Express Bestellprozess konnte nicht initialisiert werden"
"Visible on Shopping Cart Page","Auf Warenkorbseite sichtbar"
"XID","XID"
"RefNr","RefNr"
"Yes", "Ja"
"You can setup specify account data for the payment method credit card. If you don't setup any currency the global account settings are used.", "Sie haben die Möglichkeit spezifische Händlerdaten für die Zahlungsart Kreditkarte anzulegen. Wenn Sie keine spezifische Händlerdaten anlegen werden die globalen Händlerdaten benutzt."
"Your billing address will be ignored and you will be redirected to PayPal website.","Ihre Rechnungsadresse wird ignoriert und Sie werden bei Bestellabschluss zu PayPal weitergeleitet."
"Your browser doesn't support iframes.", "Ihr Browser unterstützt keine iframes."
"You will be redirected to PayPal website when you place an order.", "Am Ende des Bestellprozesses werden Sie zu PayPal weitergeleitet."
"You can only create a credit memo in referenced to an invoiced.", "Sie können nur zu einer referenzierten Rechung eine Gutschrift erstellen."
"You can only create online credit memos.", "Sie können nur online Gutschriften erstellen."
"The payment method not allow to refund.", "Die Zahlungsmethode erlaubt keine online Gutschrift."
"Use Pseudo Credit Card Information", "Benutze Pseudo-Kreditkartendaten"
"No credit memo available.", "Es ist keine Gutschrift verfügbar"
"The credit memo has no referenced invoice available.", "Die Gutschrift hat keine referenzierte Rechung."
"Transaction Code", "Transaktions-Code"
"Request PayID", "Bezugs-Pay-ID"
"Response PayID", "Antwort-Pay-ID"
"Use XSLT Template", "XSLT-Template Benutzen"
"Template Name", "Templatename"
"PayPal Checkout","PayPal Bestellung"
"Missing message for error code ""%s"".", "Keine Nachricht für den Fehlercode ""%s"" vorhanden."
"The current used credit card can not use for the checkout. Please use another credit card or another payment method.", "Die von Ihnen verwendete Kreditkarte kann nicht verarbeitet werden. Bitte wählen Sie eine andere Kreditkarte oder eine andere Zahlart aus."
"Your are not allowed to use the current payment method. Please use another payment method.", "Die von Ihnen gewählte Zahlart steht zur Zeit nicht zur Verfügung. Bitte wählen Sie eine andere Zahlart aus."
"Computop Credit Card", "Computop Kreditkarte"
"Computop Credit Card (Paygate)", "Computop Kreditkarte (Paygate)"
"Computop Credit Card (PCI DSS Compliance)", "Computop Kreditkarte (PCI DSS-Zertifizierung)"
"Computop Direct Debit", "Computop Lastschrift"
"Computop giropay", "Computop giropay"
"Computop iDeal", "Computop iDeal"
"Computop Direct Pay", "Computop Sofortüberweisung"
"Computop mpass", "Computop mpass"
"Computop PayPal", "Computop PayPal"
"Computop PayPal Express", "Computop PayPal Express"
"Your bank don't support this payment method.", "Ihre Bank unterstützt diese Zahlungsart nicht."
"The book date is %s.", "Das Buchungsdatum ist am %s."
"Reference", "Verwendungszweck"
"1. Reference Line", "1. Verwendungszweck-Zeile"
"2. Reference Line", "2. Verwendungszweck-Zeile"
"Review Order","Bestellübersicht"
"Shipping Information","Versandinformation"
"Shipping Address","Versandadresse"
"Shipping Method","Versandart"
"No shipping method required.","Keine Versandart nötig."
"Sorry, no quotes are available for this order at this time.","Für die von Ihnen im Warenkorb gewählten Produkte/Produktkombinationen können keine Versandkosten berechnet werden. Bitte nehmen Sie mit unserem Service-Team unter 0180 5 910001 Kontakt auf."
"Please select a shipping method...","Bitte wählen Sie eine Versandart..."
"Incl. Tax","Inkl. MwSt."
