"Pricetypes which will be affectable on verified attribute","Preistypen, welche vom Verified-Attribut beeinflusst werden"
"Pricetypes which will be affectable on discountable attribute","Preistypen, welche vom Discountable-Attribut beeinflusst werden"
"Activate price sorting","Aktiviere Preisreihenfolge"
"Instead of apply the cheapest price, a price sorting can be set up. First price which is valid for customer, the price sorting stops.","Statt den Güngstigsten Preis zu wählen, wird die Preisreihenfolge aktiv gesetzt. Wenn für den Kunden ein Preis hiervon (in der Reihenfolge) gefunden wurde, bricht die Suche ab und der Kunde bekommt diesen Preis."
"1. Price in sorting","1. Preis in Reihenfolge"
"2. Price in sorting","2. Preis in Reihenfolge"
"3. Price in sorting","3. Preis in Reihenfolge"
"4. Price in sorting","4. Preis in Reihenfolge"
"Customerprice","Kundenindividueller Preis"
"Tier Price","Staffelpreis Kundengruppe"
"Special Price","Spezialpreis"
"Customer Discount","Kundenrabatt (%)"
"Customer","Kunden"
"Product","Artikel"
"From","Von"
"To","Bis"
"Verified Default","Standardwert für Verified"
"Discountable Default","Standardwert für Discountable"
"Website","Website"   
"Qty","Anzahl"
"Action","Aktion"
"Price","Preis"
"and above","und darüber"
"Product","Produkt"
"Customer","Kunde"
"Customer Id","Kundennummer"
"Active automatic set for customer id","Automatisches Setzen der Kundennummer aktivieren"
"Basic setting for the following settings.","Grundlage für die folgenden Optionen."
"Template for customer id","Vorlage für die Kundennummer"
"Next number","Nächste Kundennummer"
"The number, which will be assigned to the next registered customer. This will be count up automatically.","Die Nummer, welche der nächste neuregistrierte Kunde bekommt. Diese zählt automatisch nach oben."
"%d will replaced with the customer id. For example, CID-%d will be displayed to CID-1. With %04d the customer id can be added will 0. Example, CID-%04d will be displayed to CID-0001","%d wird mit der Nummer ersetzt. Beispiel KNR-%d wird zu KNR-1. Mit %04d kann die Nummer mit 0 aufgefüllt werden. Beispiel KNR-%04d wird zu KNR-0001"
"Apply template also to already existing id's","Template für bereits existierende Kundennummer benutzen"
"When you chose yes here the system tries to convert existing ids into a number and apply the template (in some cases this might cause problems or is impossible).","Wenn Sie ja wählen, versucht das System die Nummern zu konvertieren und auf das Template anzuwenden (in einigen Fällen kann dies Probleme verursachen oder ist unmöglich."
