"Active","Aktiv"
"Add","Hinzufügen"
"ALL","ALLE"
"ANY","IRGENDEINE"
"Apply","Anwenden"
"Attribute Set","Attributset"
"by","um"
"Catalog Price Rules","Katalog Preisregeln"
"Category","Kategorie"
"Conditions Combination","Konditionskombination"
"contains","enthält"
"Customer Groups must be specified.","Kundengruppen muss ausgewählt sein."
"Customer Groups","Kundengruppen"
"Date Expire","Gültig bis"
"Date Start","Gültig von"
"Description","Beschreibung"
"Discount Amount","Ermäßigung um"
"does not contain","enthält nicht"
"Edit Rule '%test'","Bearbeite Regel '%test'"
"End Date must be greater than Start Date.","Das Enddatum sollte hinter dem Startdatum liegen."
"equals or greater than","größer gleich als"
"equals or less than","kleiner gleich als"
"FALSE","FALSCH"
"From Date","Von"
"greater than","größer als"
"If %s of these conditions are %s:","Wenn %s dieser Bedingungen %s sind:"
"Inactive","Inaktiv"
"Invalid discount amount.","Ungültige Rabatthöhe."
"is not one of","ist nicht eines von"
"is not","ist nicht"
"is one of","ist eines von"
"is","ist"
"less than","kleiner als"
"Not Logged In","Nicht Angemeldet"
"Open Chooser","Öffne Auswahlmöglichkeit"
"per page","Pro Seite"
"Perform following actions","Folgende Aktionen ausführen"
"Please choose a condition to add...","Bitte eine Bedingung auswählen"
"Please choose an action to add...","Bitte eine Aktion auswählen"
"Priority","Priorität"
"Remove","Entfernen"
"Rule Name","Name"
"Rule Name","Name"
"Save and Continue Edit","Speichern und weiter bearbeiten"
"Stop Further Rules Processing","Andere Regeln stoppen"
"The rule has been saved.","Die Regel wurde gespeichert"
"To Date","Bis"
"to","bis"
"TRUE","WAHR"
"View","Zeige"
"Websites must be specified.","Websites muss ausgewählt sein."
