"%s of unlimited","%s von unbegrenzt"
"-- Please select a block --","-- Bitte Block auswählen --"
"Action","Editieren"
"Add Block","Block erstellen"
"Alias","Name"
"Banner Image","Banner-Bild"
"Banner Information","Bannerinformationen"
"Banner of Block","Banner zuweisen"
"Click URL","Verlinkung"
"Custom Banner Code","Eigener Banner Code"
"Current Block","Aktuelle Blockzuweisung"
"Code for Banner Block","Banner-Code"
"Description/notes","Beschreibung"
"Delay Time (ms)","Anzeigedauer (in ms)"
"Delete Banner","Banner löschen"
"Description","Beschreibung"
"Display Type","Banner-Art"
"Disabled","Deaktiviert"
"Edit","Bearbeiten"
"Edit Banner '%s'","Bearbeite Banner '%s'"
"Enabled","Aktiviert"
"End Date","Aktiv bis"
"End date","Aktiv bis"
"Export","exportieren"
"Export to:","Exportieren nach:"
"Footer Text","Fußzeile"
"Header Text","Überschrift"
"Height","Höhe (in Pixel)"
"Height (px)","Höhe (in Pixel)"
"Order","Sortierung"
"Ordering","Geordnet"
"Implement Code","Banner-Code"
"Impressions","Ansichten"
"Impressions Purchased (left blank for unlimited)","Ansichten begrenzen (Leer = keine Limitierung)"
"Impmade","Ansichten"
"Manage Banners","Banner verwalten"
"Manage Blocks","Banner-Blöcke verwalten"
"New Window with Browser Navigation","Neues Fenster mit Navigation"
"New Window without Browser Navigation","Neues Fenster ohne Navigation"
"No","Nein"
"Number Banner Show","Anzahl der zu zeigenden Banner"
"per page","pro Seite"
"Parent Window with Browser Navigation","Neuen Tab öffnen"
"Please copy and paste pieces of code below to a place in one of xml layout file that you want to show the banner module. Please change "
"Randomise","Zufällig"
"Save Banner","Banner speichern"
"Save And Continue Edit","Speichern und weiter bearbeiten"
"Speed of image's change (ms)","Geschwindigkeit des Bildwechsels (in ms)"
"Show Title","Zeige Titel"
"Show Lable","Nummerierung anzeigen"
"Sort Type","Bannersortierung"
"Start Date","Aktiv von"
"Start date ","Aktiv von "
"Tartget","Öffnen in"
"Title","Titel"
"View","Zeige"
"Width","Breite"
"Width (px)","Breite (in Pixel)"
"Yes","Ja"
