"Debit Payment","Bankeinzug / Lastschrift"
"--Please Select--","-- Bitte wählen --"
"-- will be filled in automatically --","-- wird automatisch ausgefüllt --"
"Account holder","Kontoinhaber"
"Account holder: %s","Kontoinhaber: %s"
"Account number","Konto-Nummer"
"Account number: %s","Konto-Nummer: %s"
"Allow for all Customer Groups","Alle Benutzergruppen erlauben"
"Bank code","Bankleitzahl"
"Bank code: %s","Bankleitzahl: %s"
"Bank name","Kreditinstitut"
"Bank name: %s","Kreditinstitut: %s"
"Bank not found","Bank nicht gefunden"
"Bankleitzahl","Bankleitzahl"
"Can't save customer","Kundendaten konnten nicht gespeichert werden"
"Cash Payment","Barzahlung"
"Checkout only with valid BLZ","Bestellung nur mit gültiger BLZ möglich"
"Credit Card Number","Kreditkartennummer"
"Credit Card Type","Kartentyp"
"Custom text for checkout page","Benutzerdefinierter Text"
"Customer Group","Benutzergruppen"
"Debit Account Data","Kontodaten"
"Debit account information was successfully saved","Kontodaten wurden erfolgreich gespeichert"
"Debit Payment1","Bankeinzug / Lastschrift1"
"Debit Payment2","Bankeinzug / Lastschrift2"
"Debit Payment3","Bankeinzug / Lastschrift3"
"Debit Payment4","Bankeinzug / Lastschrift4"
"Debit Payment5","Bankeinzug / Lastschrift5"
"Default: ""0"" for disabled check | Minimum count of orders (in the past) needed for the customer to use this payment method."	"Standard: ""0"" zum Deaktivieren des Checks | Mindestanzahl an Bestellungen (in der Vergangenheit) eines Kunden um Zahlungsart nutzen zu dürfen."
"Edit Debit Account Data","Kontodaten bearbeiten"
"Enabled","Aktiviert"
"Enabled for all customer groups","Für alle Kundengruppen aktiviert"
"Enabled only for specific customer groups","Nur für bestimmte Kunden- gruppen aktivieren"
"Encrypt bank data in mail","Bankdaten in der E-Mail verschlüsseln"
"Expiration Date","Gültig bis "
"First Name ","Vorname"
"Frontend Description","Frontendbeschreibung"
"Group is allowed to change Payment method","Gruppe darf Zahlart wählen"
"Konto-Nummer","Konto-Nummer"
"Kontoinhaber","Kontoinhaber"
"Minimum Orders Count","Mindestanzahl an Bestellungen"
"Month","Monat"
"Year","Jahr"
"Name on Card","Karteninhaber"
"not available"	"nicht verfügbar"
"Please enter a valid bank acount number.","Bitte geben Sie eine gültige Konto-Nummer ein."
"Please enter a valid bank code.","Bitte geben Sie eine gültige Bankleitzahl ein."
"Save account data","Bankdaten speichern"
"Saved CC1","Kreditkarte Datenspeicherung"
"Send bank data via mail","Bankdaten in der E-Mail mitsenden"
"Set to ""no"" if you want to enable DebitPayment only for specific customer groups defined below.","Auf ""Nein"" umstellen, wenn Sie DebitPayment nur für untenstehende Kundengruppen aktivieren möchten"
"Sort Order","Sortierreihenfolge"
"Use new account","Neue Zahlungsdaten eintragen"
"Use previous account %s","Gespeicherte Zahlungsdaten nutzen %s"
