"Shipping","Versand"
"Methods","Methoden"
"Items","Posten"
"No Ship","Versandfreie Tage"
"Delivering Offset","Versanddauer"
"Switch to Manual Settings","Manuelle Einstellungen"
"Apply","Anwenden"
"of %s (%s)","aus %s (%s)"
"View","Zeige"
"per page","Pro Seite"
"Save and Continue Edit","Speichern und weiter bearbeiten"
"Switch to Default Settings","Auf Standard zurücksetzen"
"Delivery Date smaller than now!","Lieferdatum nicht möglich"
"Shipping Date smaller than now!","Versanddatum nicht möglich"
"Delivery Date","Lieferdatum"
"Delivery Date:","Lieferdatum:"
"Shipping Date","Versanddatum"
"Add No Ship Date","Versandfreien Tag hinzufügen"
"Otto-Gourmet - No Ship Date","Versandfreie Tage bearbeiten"
"Shipping Amount","Versandkosten (Netto)"
"Add Shipping Methods","Versandmethoden hinzufügen"
"Otto-Gourmet - Shipping Methods","Otto-Gourmet - Versandmethoden"
"Methode ID","ID"
"Is Active","Aktiv"
"threshold_type","Vergleichsoperation"
"threshold_value","Vergleichswert"
"Country","Länderkennung"
"Title","Bezeichnung"
"Carrier","Versender"
"Edit Method","Methode bearbeiten"
"Is Activ","Ist aktiv"
"No","Nein"
"Yes","Ja"
"Title","Bezeichnung"
"Description","Beschreibung"
"Threshold Type","Vergleichsoperation"
"Disabled","Keiner"
"Less ( &lt; )","Weniger ( &lt; )"
"Less Or Equal ( &lt; / = )","Weniger ( &lt; / = )"
"Equal ( = )","Gleich ( = )"
"Greater ( &rt; )","Größer als ( &rt; )"
"Less Or Equal ( &rt; / = )","Größer oder Gleich ( &rt; / = )"
"Threshold Value","Vergleichswert"
"Allowed Websites","Gültige Webseiten"
"Ship to Applicable Countries","Anwendbare Länder"
"Allowed Delivery Countries","Gültige Länder"
"Free Shipping","Versandkostenfrei"
"Exclusive Category","Nur für bestimmte Kategorie"
"Is Pay On Delivery","Nachnahme"
"Is Pay On Pick","Is Pay On Pick"
"Manually Price","Handpreis"
"Allowed Delivery Days","Gültige Liefertage"
"Delivery","Lieferung"
"Assigned Items","Zugehörige Posten"
"Code MwSt. 19%","CSB Code 19%"
"Cost MwSt. 19%","Kosten MwSt. 19%"
"Title MwSt. 19%","Beezeichnung 19%"
"Code MwSt. 7%","CSB Code 7%"
"Cost MwSt. 7%","Kosten MwSt. 7%"
"Title MwSt. 7%","Beezeichnung 7%"
"Otto-Gourmet - Shipping Item","Otto-Gourmet - Versandposten"
"Add Shipping Item","Versandposten hinzufügen"
"Edit Item %s","Bearbeite %s"
"Surcharge Type","Zuschlag"
"Express Surcharge","Expresszustellung"
"Saturday Surcharge","Samstagszustellung"
"None","Kein"
"Edit No Ship Date","Versandfreie Tage bearbeiten"
"No Ship Date","Versandfreie Tage"
"Year","Jahr"
"Month","Monat"
"Day","Tag"
"Note","Beschreibung"
"Otto-Gourmet - Delivering Offset","Otto-Gourmet - Versanddauer"
"Delivering Offset","Versanddauer bearbeiten"
"Add Delivering Offset","Versanddauer hinzufügen"
"Is Express","Expresslieferung"
"Delivery Time","Dauer (in Tagen)"
"Code","Code"
"Cost","Versandkosten"
