"* Required Fields","* Campos requeridos"
"[Days, 0 if unlimited]","[Dias, 0 si es ilimitado]"
"<b>[0-12 months]</b>","<b>[0-12 meses]</b>"
"Accept Template","Aceptar plantilla"
"Accepted","Aceptado"
"Account","Cuenta"
"Account exist, status: %s","Cuenta existe, status: %s"
"Account Information","Informacion de la cuenta"
"Action","Acción"
"Active","Activo"
"Add Advertising","Añadir publicidad"
"Add Affiliate","Añadir afiliado"
"Add Campaign","Añadir Campaña"
"Add Group","Añadir Grupo"
"Add New Advertising","Añadir nuevo anuncio"
"Add New Animated Image Advertising","Añadir nuevo anuncio animado"
"Add New Campaign","Añadir nueva campaña"
"Add New Flash Advertising","Añadir anuncio Flash"
"Add New Group","Añadir nuevo grupo"
"Add New Html Advertising","Añadir anuncio HTML"
"Add New Static Image Advertising","Añadir anuncio Static Image"
"Add New Text Advertising","Añadir anuncio de texto"
"Add Referring Website","Añadir página web"
"Address","Dirección"
"Address Information","Información dirección"
"Addvertising was create successfully","Anuncio creado correctamente"
"Addvertising was save successfully","Anuncio grabado correctamente"
"Adjustment","Ajuste"
"Adjustment comment","Comentario ajuste"
"Advertise Name","Nombre anuncio"
"Advertising","Anuncio"
"Advertising <i>%s</i>","Anuncio <i>%s</i>"
"Advertising Check Values","Comprobar variables anuncio"
"Advertising Description","Descipción anuncio"
"Advertising Html","Anuncio Html"
"Advertising ID","ID del anuncio"
"Advertising Material","Material publicitario"
"Advertising Name","Nombre anuncio"
"Advertising Text","Texto anuncio"
"Advertising Type","Tipo de anuncio"
"Advertising with ID %s unknown","Anuncio ID %s desconocido"
"Advertising Materials","Material publicitario"
"Affiliate","Afiliado"
"Affiliate - Merchant Notification to Affiliate","Afiliado - Notificación del vendedor al afiliado"
"Affiliate - Modul Notification to Merchant","Afiliado - Notificación del modulo al vendedor"
"Affiliate address and company data","Dirección afiliado y datos de la empresa"
"Affiliate bank data","Datos bancarios del afiliado"
"Affiliate Dashboard","Panel de control afiliado"
"Affiliate data was successfully saved","Datos afiliado grabados con éxito"
"Affiliate Group","Grupo afiliado"
"Affiliate ID","ID del afiliado"
"Affiliate ID:","ID del afiliado:"
"Affiliate Information","Información afiliado"
"Affiliate Payment Notification","Notificación pago afiliado"
"Affiliate Permission Role","Rol permiso afiliado"
"Affiliate personal data","Datos personales del afiliado"
"Affiliate Program","Programa afiliación"
"Affiliate Status Notification","Cambio estado afiliado"
"Affiliate successfully deleted","Afiliado eliminado con éxito"
"Affiliate with ID %s is unknown","Afiliado con ID %s desconocido"
"Affiliate(s)","Afiliado(s)"
"Affiliates","Afiliados"
"All","Todo"
"Allowed Advertising Status","Estado anuncio permitido"
"Allowed Referring Website Status","Estado página web permitido"
"Animate Image","Animar imágen"
"Animated Image Advertising Details","Detalles anuncio con imágen animado"
"Animated Image Advertising Settings","Configuración anuncio con imágen animado"
"Animatet Image","Imágen animado"
"Announced","Notificado"
"Apply Confirmation","Pedir confirmación"
"Apply For Admission","Pedir admisión"
"April","Abril"
"Are you sure?","¿Esta seguro?"
"as enterprise w/ Tax ID","NIF o CIF de la empresa"
"as enterprise w/o Tax ID","NIF o CIF de la empresa"
"as private person","Como persona física"
"Attach payment PDF","Juntar PDF de pago"
"August","Agosto"
"Back","Atrás"
"Bank","Banco"
"Bank Accountnumber","Número de cuenta"
"Bank Accountnumber:","Número de cuenta:"
"Bank Assignee","Titular"
"Bank Assignee:","Titular de la cuenta:"
"Bank BIC","BIC"
"Bank BIC:","BIC:"
"Bank Code","Código banco"
"Bank Code:","Código banco:"
"Bank Country","País del banco"
"Bank Country:","País del banco:"
"Bank IBAN","IBAN"
"Bank IBAN:","IBAN:"
"Bank Name","Nombre del banco"
"Bank Name:","Nombre del banco:"
"Banking Account","Cuenta bancaria"
"Become an Affiliate","Afíliate"
"Begin Date","Fecha inicio"
"Birthday","Fecha de nacimiento"
"Birthday:","Fecha de nacimiento:"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Creando una cuenta en nuestra tienda tiene varias ventajas. Puedes ver el seguimiento de tus envíos, ver pedidos anteriores y muchas cosas más."
"Campaign ID","ID Campaña"
"Campaign successfully deleted","Campaña eliminada"
"Campaign Type","Tipo de campaña"
"Campaign was create successfully","Campaña creada con éxito"
"Campaign was save successfully","Campaña guardada con éxito"
"Campaign with ID %s is unknown","Campaña con ID %s desconocido"
"Campaign(s)","Campaña(s)"
