"* Required Fields","* wymagane pola"
"[Days, 0 if unlimited]","[Dni, 0 jeśli bez limitu]"
"<b>[0-12 months]</b>","<b>[0-12 miesięcy]</b>"
"Accept Template","Szablon konta"
"Accepted","Zaakceptowane"
"Account","Konto"
"Account exist, status: %s","Konto istnieje, status: %s"
"Account Information","Informacje o koncie"
"Action","Akcje"
"Active","Aktywny"
"Add Advertising","Dodaj reklamę"
"Add Affiliate","Dodaj partnera"
"Add Campaign","Dodaj kampanię"
"Add Group","Dodaj grupę"
"Add New Advertising","Dodaj nową reklamę"
"Add New Animated Image Advertising","Dodaj nową reklamę z animowaną grafiką"
"Add New Campaign","Dodaj nową kampanię"
"Add New Flash Advertising","Dodaj nową reklamę Flash"
"Add New Group","Dodaj nową grupę"
"Add New Html Advertising","Dodaj nową reklamę HTML"
"Add New Static Image Advertising","Dodaj nową reklamę ze statyczną grafiką"
"Add New Text Advertising","Dodaj nową reklamę tekstową"
"Add referer","Dodaj polecajęcego"
"Address","Adres"
"Address Information","Informacje adresowe"
"Addvertising was create successfully","Reklama została utworzone"
"Addvertising was save successfully","Rekalma została zapisana"
"Adjustment","Wyrównanie"
"Adjustment comment","Komentarz wyrównania"
"Advertise Name","Nazwa reklamy"
"Advertising","Reklama"
"Advertising <i>%s</i>","Reklama <i>%s</i>"
"Advertising Check Values","Wartości zatwierdzenia reklamy"
"Advertising Description","Opis reklamy"
"Advertising Html","HTML reklamy"
"Advertising ID","ID reklamy"
"Advertising Material","Materiały reklamowe"
"Advertising Name","Nazwa reklamy"
"Advertising Text","Tekst reklamy"
"Advertising Type","Typ reklamy"
"Advertising with ID %s unknown","Reklama z ID %s jest nierozpoznana"
"Advertising(s)","Rekalama(y)"
"Affiliate","Partner"
"Affiliate - Merchant Notification to Affiliate","Partner - powiadomienie handlowca do partnera"
"Affiliate - Modul Notification to Merchant","Partner – moduł powiadomień do handlowca"
"Affiliate address and company data","Dane firmy i adres partnera"
"Affiliate bank data","Dane banku partnera"
"Affiliate Dashboard","Kokpit partnera"
"Affiliate data was successfully saved","Dane partnera zostały zapisane"
"Affiliate Group","Grupa partnera"
"Affiliate ID","ID partnera"
"Affiliate ID:","ID partnera:"
"Affiliate Information","Informcje o partnerze"
"Affiliate Payment Notifikation","Powiadomienie płatności dla partnera"
"Affiliate Permission Role","Uprawnienia partnera"
"Affiliate personal data","Dane osobiste partnera"
"Affiliate Program","Program partnerski"
"Affiliate Status Notifikation","Powiadomienie statusu partnera"
"Affiliate successfully deleted","Partner został usunięty"
"Affiliate with ID %s is unknown","Partner o ID %s jest nieznany"
"Affiliate(s)","Partner(zy)"
"Affiliates","Partnerzy"
"All","Wszyscy"
"Allowed Advertising Status","Ststus dozwolonych reklam"
"Allowed Referer Status","Status dozwolonych poleceń"
"Animate Image","Animowana grafika"
"Animated Image Advertising Details","Szczegóły reklamy animowanej grafiki"
"Animated Image Advertising Settings","Ustawienia reklamy animowanej grafiki"
"Animatet Image","Animowana grafika"
"Announced","Ogłoszone"
"Apply Confirmation","Zastosuj potwierdzenie"
"Apply For Admission","Zastosuj do zgłoszenia"
"April","Kwiecień"
"Are you sure?","Czy na pewno?"
"as enterprise w/ Tax ID","jako firma (z NIP)"
"as enterprise w/o Tax ID","jako firma (bez NIP)"
"as private person","jako osoba fizyczna"
"Attach payment PDF","Załącz PDF płatności"
"August","Sierpień"
"Back","Powrót"
"Bank","Bank"
"Bank Accountnumber","Numer konta"
"Bank Accountnumber:","Numer konta:"
"Bank Assignee","Przedstawiciel banku"
"Bank Assignee:","Przedstawiciel banku:"
"Bank BIC","Numer BIC banku"
"Bank BIC:","Numer BIC banku:"
"Bank Code","Kod banku"
"Bank Code:","Kod banku:"
"Bank Country","Kraj banku"
"Bank Country:","Kraj banku:"
"Bank IBAN","Bank IBAN"
"Bank IBAN:","Bank IBAN:"
"Bank Name","Nazwa banku"
"Bank Name:","Nazwa banku:"
"Banking Account","Konto bankowe"
"Become an Affiliate","Zostań partnerem"
"Begin Date","Data początkowa"
"Birthday","Urodziny"
"Birthday:","Urodziny:"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.",
"Campaign ID","ID kampanii"
"Campaign successfully deleted","Kampania została usunięta"
"Campaign Type","Typ kampanii"
"Campaign was create successfully","Kampania została utworzona"
"Campaign was save successfully","Kampania została zapisana"
"Campaign with ID %s is unknown","Kampania o ID %s jest nieznana"
"Campaign(s)","Kmapania(e)"
"Campaigns","Kampanie"
"Category","Kategoria"
"Category Campaign","Kampania kategorii"
"Category Campaign Details","Szczegóły kampanii kategorii"
"Category Campaign Settings","Ustawienia kampanii kategorii"
"City","Miasto"
"City :","Miasto:"
"Click","Kliknięcie"
"Clicks","Kliknięcia"
"Clicks (grouped / total)","Kliknięcia (grupowane/łącznie)"
"Clicks Grouping","Grupowanie kliknięć"
"Clicks Total","Łącznie kliknięcia"
"Clicks Value","Wartość kliknięcia"
"Clicktag","Clicktag"
"Code Snippet","Kawałek kodu"
"Comment","Komentarz"
"Commission","Prowizja"
"Commission - Handle","Prowizja - utrzymanie"
"Commission - Pass","Prowizja - przejście"
"Commission - Value","Prowizja - wartość"
"Commission (confirmed / unconfirmed)","Prowizja (potwierdzone / niepotwierdzone)"
"Commissions","Prowizje"
"Company","Firma"
"Company:","Firma:"
"Config","Konfiguracja"
"Configuration","Konfiguracja"
"Confirmed","Potwierdzony"
"Content","Treść"
"Continue","Konktynuuj"
"Cookie Settings","Ustawienia cookies"
"Costumer","Klient"
"Costumer Leads Value","Wartość leadu klienta"
"Costumer Value","Wartość klienta"
"Country","Kraj"
"Country:","Kraj:"
"Create At","Utworzone"
"Create new Affiliate","Utwórz nowego partnera"
"Create New Customer Account","Utwórz nowe konto partnera"
"CSV","CSV"
"Customer","Klient"
"Dashboard","Kokpit"
"Data successfully saved","Dane zostały zapisane"
"Date","Data"
"Date of Birth","Data urodzenia"
"Day","Dzień"
"DB-Lookup","DB-Lookup"
"DD","DD"
"December","Grudzień"
"Default","Domyślnie"
"Default Template from Locale","Domyślny szablon z języka"
"Define","Definiuj"
"Define#","Definiuj#"
"Delete","Usuń"
"Deprecated","Nieużywane"
"Description","Opis"
"Details","Szczegóły"
"Disable","Wyłącz"
"Disable Template","Wyłącz szablon"
"Draft","Szkic"
"Edit","Edytuj"
"Edit Advertising <i>%s</i>","Edytuj reklamę <i>%s</i>"
